No.,Time,Source,Destination,Time2,Time1,Delay,Delay2,Delay1,Jitter,,,,
53,7.991587,192.168.1.152,224.0.0.251,7.991952,7.991587,0.000365,0.184995,-0.18463,0.369625,,,,
54,7.991952,fe80::63:ff2a:30ae:de3e,ff02::fb,8.176947,7.991952,0.184995,0,0.184995,-0.184995,,,,
55,8.176947,18.235.241.239,192.168.1.139,8.176947,8.176947,0,0,0,0,,,,
56,8.176947,18.235.241.239,192.168.1.139,8.176947,8.176947,0,1.755385,-1.755385,3.51077,,,,
57,8.176947,18.235.241.239,192.168.1.139,9.932332,8.176947,1.755385,0.71701,1.038375,-0.321365,,,,
58,9.932332,Fiberhom_a2:01:60,Broadcast,10.649342,9.932332,0.71701,0.000551,0.716459,-0.715908,,,,
59,10.649342,192.168.1.146,224.0.0.251,10.649893,10.649342,0.000551,0.306624,-0.306073,0.612697,,,,
60,10.649893,fe80::1c27:1e19:e10a:5ec7,ff02::fb,10.956517,10.649893,0.306624,0.204906,0.101718,0.103188,,,,
61,10.956517,Fiberhom_a2:01:60,Broadcast,11.161423,10.956517,0.204906,0.102104,0.102802,-0.000698,,,,
62,11.161423,192.168.1.148,239.255.255.250,11.263527,11.161423,0.102104,0.204977,-0.102873,0.30785,,,,
63,11.263527,CyberTAN_78:f9:9f,Broadcast,11.468504,11.263527,0.204977,0.204786,0.000191,0.204595,,,,
64,11.468504,192.168.1.148,239.255.255.250,11.67329,11.468504,0.204786,0.00036,0.204426,-0.204066,,,,
65,11.67329,192.168.1.146,224.0.0.251,11.67365,11.67329,0.00036,0.102414,-0.102054,0.204468,,,,
66,11.67365,fe80::1c27:1e19:e10a:5ec7,ff02::fb,11.776064,11.67365,0.102414,0.000413,0.102001,-0.101588,,,,
67,11.776064,192.168.1.154,224.0.0.251,11.776477,11.776064,0.000413,0.000384,2.90E-05,0.000355,,,,
68,11.776477,fe80::cf0:4253:34f1:3d74,ff02::fb,11.776861,11.776477,0.000384,0.000272,0.000112,0.00016,,,,
69,11.776861,192.168.1.148,239.255.255.250,11.777133,11.776861,0.000272,0.203254,-0.202982,0.406236,,,,
70,11.777133,192.168.1.151,192.168.1.255,11.980387,11.777133,0.203254,0.027577,0.175677,-0.1481,,,,
71,11.980387,Fiberhom_a2:01:60,Broadcast,12.007964,11.980387,0.027577,0.022996,0.004581,0.018415,,,,
72,12.007964,192.168.1.139,192.168.1.1,12.03096,12.007964,0.022996,0.030367,-0.007371,0.037738,,,,
73,12.03096,192.168.1.1,192.168.1.139,12.061327,12.03096,0.030367,0.025124,0.005243,0.019881,,,,
74,12.061327,192.168.1.139,13.86.37.202,12.086451,12.061327,0.025124,0.140659,-0.115535,0.256194,,,,
75,12.086451,CyberTAN_78:f9:9f,Broadcast,12.22711,12.086451,0.140659,0.051089,0.08957,-0.038481,,,,
76,12.22711,192.168.1.139,103.10.124.162,12.278199,12.22711,0.051089,0.000112,0.050977,-0.050865,,,,
77,12.278199,13.86.37.202,192.168.1.139,12.278311,12.278199,0.000112,0.015367,-0.015255,0.030622,,,,
78,12.278311,192.168.1.139,13.86.37.202,12.293678,12.278311,0.015367,0.081926,-0.066559,0.148485,,,,
79,12.293678,192.168.1.139,13.86.37.202,12.375604,12.293678,0.081926,0.04352,0.038406,0.005114,,,,
80,12.375604,103.10.124.162,192.168.1.139,12.419124,12.375604,0.04352,0.103891,-0.060371,0.164262,,,,
81,12.419124,192.168.1.139,13.86.37.202,12.523015,12.419124,0.103891,9.30E-05,0.103798,-0.103705,,,,
82,12.523015,13.86.37.202,192.168.1.139,12.523108,12.523015,9.30E-05,0.000143,-5.00E-05,0.000193,,,,
83,12.523108,192.168.1.139,13.86.37.202,12.523251,12.523108,0.000143,0,0.000143,-0.000143,,,,
84,12.523251,13.86.37.202,192.168.1.139,12.523251,12.523251,0,0,0,0,,,,
85,12.523251,13.86.37.202,192.168.1.139,12.523251,12.523251,0,0,0,0,,,,
86,12.523251,13.86.37.202,192.168.1.139,12.523251,12.523251,0,6.20E-05,-6.20E-05,0.000124,,,,
87,12.523251,13.86.37.202,192.168.1.139,12.523313,12.523251,6.20E-05,0.119261,-0.119199,0.23846,,,,
88,12.523313,192.168.1.139,13.86.37.202,12.642574,12.523313,0.119261,0.00702,0.112241,-0.105221,,,,
89,12.642574,192.168.1.139,13.86.37.202,12.649594,12.642574,0.00702,0.000108,0.006912,-0.006804,,,,
90,12.649594,13.86.37.202,192.168.1.139,12.649702,12.649594,0.000108,0.000302,-0.000194,0.000496,,,,
91,12.649702,192.168.1.139,13.86.37.202,12.650004,12.649702,0.000302,0.025256,-0.024954,0.05021,,,,
92,12.650004,192.168.1.139,13.86.37.202,12.67526,12.650004,0.025256,0.16129,-0.136034,0.297324,,,,
93,12.67526,192.168.1.139,13.86.37.202,12.83655,12.67526,0.16129,0.003138,0.158152,-0.155014,,,,
94,12.83655,192.168.1.139,103.10.124.162,12.839688,12.83655,0.003138,0.016417,-0.013279,0.029696,,,,
95,12.839688,192.168.1.139,103.10.124.162,12.856105,12.839688,0.016417,0.00704,0.009377,-0.002337,,,,
96,12.856105,103.10.124.162,192.168.1.139,12.863145,12.856105,0.00704,8.20E-05,0.006958,-0.006876,,,,
97,12.863145,13.86.37.202,192.168.1.139,12.863227,12.863145,8.20E-05,0.017733,-0.017651,0.035384,,,,
98,12.863227,192.168.1.139,13.86.37.202,12.88096,12.863227,0.017733,0,0.017733,-0.017733,,,,
99,12.88096,192.168.1.139,13.86.37.202,12.88096,12.88096,0,0.000369,-0.000369,0.000738,,,,
100,12.88096,192.168.1.139,13.86.37.202,12.881329,12.88096,0.000369,0.00721,-0.006841,0.014051,,,,
101,12.881329,192.168.1.139,13.86.37.202,12.888539,12.881329,0.00721,8.50E-05,0.007125,-0.00704,,,,
102,12.888539,13.86.37.202,192.168.1.139,12.888624,12.888539,8.50E-05,0.000118,-3.30E-05,0.000151,,,,
103,12.888624,192.168.1.139,13.86.37.202,12.888742,12.888624,0.000118,0,0.000118,-0.000118,,,,
104,12.888742,13.86.37.202,192.168.1.139,12.888742,12.888742,0,0,0,0,,,,
105,12.888742,13.86.37.202,192.168.1.139,12.888742,12.888742,0,0,0,0,,,,
106,12.888742,13.86.37.202,192.168.1.139,12.888742,12.888742,0,6.30E-05,-6.30E-05,0.000126,,,,
107,12.888742,13.86.37.202,192.168.1.139,12.888805,12.888742,6.30E-05,0.003201,-0.003138,0.006339,,,,
108,12.888805,192.168.1.139,13.86.37.202,12.892006,12.888805,0.003201,0.00921,-0.006009,0.015219,,,,
109,12.892006,192.168.1.139,13.86.37.202,12.901216,12.892006,0.00921,0.000107,0.009103,-0.008996,,,,
110,12.901216,13.86.37.202,192.168.1.139,12.901323,12.901216,0.000107,0.000608,-0.000501,0.001109,,,,
111,12.901323,192.168.1.139,13.86.37.202,12.901931,12.901323,0.000608,0.102424,-0.101816,0.20424,,,,
112,12.901931,192.168.1.139,13.86.37.202,13.004355,12.901931,0.102424,0.102631,-0.000207,0.102838,,,,
113,13.004355,CyberTAN_78:f9:9f,Broadcast,13.106986,13.004355,0.102631,0.000217,0.102414,-0.102197,,,,
114,13.106986,Fiberhom_a2:01:60,Broadcast,13.107203,13.106986,0.000217,0,0.000217,-0.000217,,,,
115,13.107203,13.86.37.202,192.168.1.139,13.107203,13.107203,0,0.007965,-0.007965,0.01593,,,,
116,13.107203,13.86.37.202,192.168.1.139,13.115168,13.107203,0.007965,7.30E-05,0.007892,-0.007819,,,,
117,13.115168,13.86.37.202,192.168.1.139,13.115241,13.115168,7.30E-05,0.008332,-0.008259,0.016591,,,,
118,13.115241,192.168.1.139,13.86.37.202,13.123573,13.115241,0.008332,7.60E-05,0.008256,-0.00818,,,,
119,13.123573,13.86.37.202,192.168.1.139,13.123649,13.123573,7.60E-05,0.000149,-7.30E-05,0.000222,,,,
120,13.123649,192.168.1.139,13.86.37.202,13.123798,13.123649,0.000149,4.70E-05,0.000102,-5.50E-05,,,,
121,13.123798,13.86.37.202,192.168.1.139,13.123845,13.123798,4.70E-05,9.60E-05,-4.90E-05,0.000145,,,,
122,13.123845,192.168.1.139,13.86.37.202,13.123941,13.123845,9.60E-05,0,9.60E-05,-9.60E-05,,,,
123,13.123941,13.86.37.202,192.168.1.139,13.123941,13.123941,0,0,0,0,,,,
124,13.123941,13.86.37.202,192.168.1.139,13.123941,13.123941,0,4.60E-05,-4.60E-05,9.20E-05,,,,
125,13.123941,13.86.37.202,192.168.1.139,13.123987,13.123941,4.60E-05,0.002431,-0.002385,0.004816,,,,
126,13.123987,192.168.1.139,13.86.37.202,13.126418,13.123987,0.002431,0.009393,-0.006962,0.016355,,,,
127,13.126418,192.168.1.139,13.86.37.202,13.135811,13.126418,0.009393,0,0.009393,-0.009393,,,,
128,13.135811,192.168.1.139,13.86.37.202,13.135811,13.135811,0,0.000237,-0.000237,0.000474,,,,
129,13.135811,192.168.1.139,13.86.37.202,13.136048,13.135811,0.000237,0.176951,-0.176714,0.353665,,,,
130,13.136048,192.168.1.139,13.86.37.202,13.312999,13.136048,0.176951,0.043724,0.133227,-0.089503,,,,
131,13.312999,192.168.1.139,13.86.37.202,13.356723,13.312999,0.043724,7.40E-05,0.04365,-0.043576,,,,
132,13.356723,13.86.37.202,192.168.1.139,13.356797,13.356723,7.40E-05,0.00076,-0.000686,0.001446,,,,
133,13.356797,192.168.1.139,13.86.37.202,13.357557,13.356797,0.00076,0,0.00076,-0.00076,,,,
134,13.357557,192.168.1.139,13.86.37.202,13.357557,13.357557,0,0.000243,-0.000243,0.000486,,,,
135,13.357557,192.168.1.139,13.86.37.202,13.3578,13.357557,0.000243,0.007722,-0.007479,0.015201,,,,
136,13.3578,192.168.1.139,13.86.37.202,13.365522,13.3578,0.007722,0.038166,-0.030444,0.06861,,,,
137,13.365522,13.86.37.202,192.168.1.139,13.403688,13.365522,0.038166,0,0.038166,-0.038166,,,,
138,13.403688,13.86.37.202,192.168.1.139,13.403688,13.403688,0,7.80E-05,-7.80E-05,0.000156,,,,
139,13.403688,13.86.37.202,192.168.1.139,13.403766,13.403688,7.80E-05,0.032827,-0.032749,0.065576,,,,
140,13.403766,192.168.1.139,13.86.37.202,13.436593,13.403766,0.032827,0.048261,-0.015434,0.063695,,,,
141,13.436593,103.10.124.162,192.168.1.139,13.484854,13.436593,0.048261,0.005286,0.042975,-0.037689,,,,
142,13.484854,192.168.1.139,103.10.124.162,13.49014,13.484854,0.005286,0.000716,0.00457,-0.003854,,,,
143,13.49014,192.168.1.139,192.168.1.1,13.490856,13.49014,0.000716,0.000986,-0.00027,0.001256,,,,
144,13.490856,192.168.1.139,192.168.1.1,13.491842,13.490856,0.000986,0.003896,-0.00291,0.006806,,,,
145,13.491842,192.168.1.139,192.168.1.1,13.495738,13.491842,0.003896,0.005726,-0.00183,0.007556,,,,
146,13.495738,192.168.1.139,192.168.1.1,13.501464,13.495738,0.005726,0.005735,-9.00E-06,0.005744,,,,
147,13.501464,192.168.1.1,192.168.1.139,13.507199,13.501464,0.005735,0.010252,-0.004517,0.014769,,,,
148,13.507199,192.168.1.139,51.143.105.194,13.517451,13.507199,0.010252,0.002743,0.007509,-0.004766,,,,
149,13.517451,192.168.1.1,192.168.1.139,13.520194,13.517451,0.002743,0.001751,0.000992,0.000759,,,,
150,13.520194,192.168.1.139,192.168.1.1,13.521945,13.520194,0.001751,0.000112,0.001639,-0.001527,,,,
151,13.521945,192.168.1.139,192.168.1.1,13.522057,13.521945,0.000112,0.000729,-0.000617,0.001346,,,,
152,13.522057,192.168.1.139,192.168.1.1,13.522786,13.522057,0.000729,0.003239,-0.00251,0.005749,,,,
153,13.522786,192.168.1.139,20.110.86.75,13.526025,13.522786,0.003239,0.00269,0.000549,0.002141,,,,
154,13.526025,192.168.1.1,192.168.1.139,13.528715,13.526025,0.00269,0.00323,-0.00054,0.00377,,,,
155,13.528715,192.168.1.1,192.168.1.139,13.531945,13.528715,0.00323,5.70E-05,0.003173,-0.003116,,,,
156,13.531945,13.86.37.202,192.168.1.139,13.532002,13.531945,5.70E-05,0.002206,-0.002149,0.004355,,,,
157,13.532002,192.168.1.139,13.86.37.202,13.534208,13.532002,0.002206,0.001668,0.000538,0.00113,,,,
158,13.534208,192.168.1.1,192.168.1.139,13.535876,13.534208,0.001668,0.001913,-0.000245,0.002158,,,,
159,13.535876,192.168.1.139,40.90.9.180,13.537789,13.535876,0.001913,0.040951,-0.039038,0.079989,,,,
160,13.537789,192.168.1.139,23.66.4.11,13.57874,13.537789,0.040951,0.005454,0.035497,-0.030043,,,,
161,13.57874,13.86.37.202,192.168.1.139,13.584194,13.57874,0.005454,0,0.005454,-0.005454,,,,
162,13.584194,13.86.37.202,192.168.1.139,13.584194,13.584194,0,8.00E-05,-8.00E-05,0.00016,,,,
163,13.584194,13.86.37.202,192.168.1.139,13.584274,13.584194,8.00E-05,0.001152,-0.001072,0.002224,,,,
164,13.584274,192.168.1.139,13.86.37.202,13.585426,13.584274,0.001152,0.000107,0.001045,-0.000938,,,,
165,13.585426,23.66.4.11,192.168.1.139,13.585533,13.585426,0.000107,0.003557,-0.00345,0.007007,,,,
166,13.585533,192.168.1.139,23.66.4.11,13.58909,13.585533,0.003557,0.052869,-0.049312,0.102181,,,,
167,13.58909,192.168.1.139,23.66.4.11,13.641959,13.58909,0.052869,6.30E-05,0.052806,-0.052743,,,,
168,13.641959,192.168.1.139,216.98.50.146,13.642022,13.641959,6.30E-05,3.70E-05,2.60E-05,1.10E-05,,,,
169,13.642022,192.168.1.139,216.98.50.146,13.642059,13.642022,3.70E-05,0.006529,-0.006492,0.013021,,,,
170,13.642059,192.168.1.139,216.98.50.146,13.648588,13.642059,0.006529,0.000574,0.005955,-0.005381,,,,
171,13.648588,23.66.4.11,192.168.1.139,13.649162,13.648588,0.000574,6.40E-05,0.00051,-0.000446,,,,
172,13.649162,23.66.4.11,192.168.1.139,13.649226,13.649162,6.40E-05,0.000129,-6.50E-05,0.000194,,,,
173,13.649226,192.168.1.139,23.66.4.11,13.649355,13.649226,0.000129,0,0.000129,-0.000129,,,,
174,13.649355,23.66.4.11,192.168.1.139,13.649355,13.649355,0,5.60E-05,-5.60E-05,0.000112,,,,
175,13.649355,23.66.4.11,192.168.1.139,13.649411,13.649355,5.60E-05,0.041521,-0.041465,0.082986,,,,
176,13.649411,192.168.1.139,23.66.4.11,13.690932,13.649411,0.041521,0.000103,0.041418,-0.041315,,,,
177,13.690932,51.143.105.194,192.168.1.139,13.691035,13.690932,0.000103,0.002403,-0.0023,0.004703,,,,
178,13.691035,192.168.1.139,51.143.105.194,13.693438,13.691035,0.002403,0.014399,-0.011996,0.026395,,,,
179,13.693438,192.168.1.139,51.143.105.194,13.707837,13.693438,0.014399,0.005972,0.008427,-0.002455,,,,
180,13.707837,192.168.1.139,23.66.4.11,13.713809,13.707837,0.005972,0,0.005972,-0.005972,,,,
181,13.713809,192.168.1.139,23.66.4.11,13.713809,13.713809,0,0,0,0,,,,
182,13.713809,192.168.1.139,23.66.4.11,13.713809,13.713809,0,0.037006,-0.037006,0.074012,,,,
183,13.713809,192.168.1.139,23.66.4.11,13.750815,13.713809,0.037006,0.016696,0.02031,-0.003614,,,,
184,13.750815,13.86.37.202,192.168.1.139,13.767511,13.750815,0.016696,0,0.016696,-0.016696,,,,
185,13.767511,23.66.4.11,192.168.1.139,13.767511,13.767511,0,0,0,0,,,,
186,13.767511,23.66.4.11,192.168.1.139,13.767511,13.767511,0,0.00014,-0.00014,0.00028,,,,
187,13.767511,40.90.9.180,192.168.1.139,13.767651,13.767511,0.00014,3.50E-05,0.000105,-7.00E-05,,,,
188,13.767651,192.168.1.139,23.66.4.11,13.767686,13.767651,3.50E-05,0.001883,-0.001848,0.003731,,,,
189,13.767686,192.168.1.139,40.90.9.180,13.769569,13.767686,0.001883,0,0.001883,-0.001883,,,,
190,13.769569,23.66.4.11,192.168.1.139,13.769569,13.769569,0,0,0,0,,,,
191,13.769569,23.66.4.11,192.168.1.139,13.769569,13.769569,0,0,0,0,,,,
192,13.769569,23.66.4.11,192.168.1.139,13.769569,13.769569,0,0.000425,-0.000425,0.00085,,,,
193,13.769569,20.110.86.75,192.168.1.139,13.769994,13.769569,0.000425,0.007632,-0.007207,0.014839,,,,
194,13.769994,192.168.1.139,20.110.86.75,13.777626,13.769994,0.007632,0.000681,0.006951,-0.00627,,,,
195,13.777626,192.168.1.139,40.90.9.180,13.778307,13.777626,0.000681,0.015684,-0.015003,0.030687,,,,
196,13.778307,192.168.1.139,20.110.86.75,13.793991,13.778307,0.015684,0,0.015684,-0.015684,,,,
197,13.793991,13.86.37.202,192.168.1.139,13.793991,13.793991,0,7.40E-05,-7.40E-05,0.000148,,,,
198,13.793991,13.86.37.202,192.168.1.139,13.794065,13.793991,7.40E-05,0.096369,-0.096295,0.192664,,,,
199,13.794065,192.168.1.139,13.86.37.202,13.890434,13.794065,0.096369,7.80E-05,0.096291,-0.096213,,,,
200,13.890434,51.143.105.194,192.168.1.139,13.890512,13.890434,7.80E-05,0.0001,-2.20E-05,0.000122,,,,
201,13.890512,192.168.1.139,51.143.105.194,13.890612,13.890512,0.0001,0,0.0001,-0.0001,,,,
202,13.890612,51.143.105.194,192.168.1.139,13.890612,13.890612,0,5.10E-05,-5.10E-05,0.000102,,,,
